id,area,research,teaching,bio
hubert-gatignon,Marketing,Modeling the Factors Influencing the Adoption and Diffusion of Innovations,"Marketing Strategy,
Multivariate Statistics,
New Products","Hubert Gatignon is the Emeritus Professor of Marketing and the Claude Janssen Chaired Professor of Business Administration, Emeritus, at INSEAD. He joined INSEAD in 1994 after serving as Professor of Marketing at the Wharton School of the University of Pennsylvania. He holds a PhD in Marketing from the University of California, Los Angeles, and the Habilitation à Diriger des Recherches from Université Paul Cézanne-Aix Marseille.

Hubert Gatignon’s research interests involve marketing strategy and especially, innovation strategies, as well as international marketing strategy. His publications have appeared in Communications Research; International Journal of Research in Marketing; Journal of Business and Industrial Marketing; Journal of Business Research; Journal of Consumer Research; Journal of International Business Studies; Journal of Law, Economics and Organization; Journal of Marketing, Journal of Marketing Behavior, Journal of Marketing Research, Management Science, Marketing Letters, Marketing Science, Planning Review, and Strategic Management Journal. He has recently published a two-volume book Making Innovation Last: Sustainable Strategies for Long Term Growth (Palgrave-Macmillan) and Statistical Analysis of Management Data (Kluwer Academic Publishing).

He is also a co-author of MARKSTRAT: The Strategic Marketing Simulation, ADSTRAT: An Advertising Decision Support System, and COMPTRACK: A Competitive Tracking Software. He edited New Products and Services Development (4 volumes, Sage) and co-edited The INSEAD-Wharton Alliance on Globalizing: Strategies for Building Successful Global Businesses.

Professor Gatignon has been an Editor-in-Chief of the International Journal of Research in Marketing (2000-2006), Recherche et Applications en Marketing (1998-2000), and an Associate Editor of the Journal of Marketing Research (2006-2016). He served on the editorial boards of the Journal of Business-to-Business Marketing, International Journal of Research in Marketing, Journal of Marketing, Marketing Letters, Marketing Science, Recherche et Applications en Marketing, Journal of International Business Studies, and Journal of International Marketing. He has co-chaired the 1998 Informs Marketing Science Conference and has chaired several tracks of the American Marketing Association Winter Educators Conferences. He has served as an Academic Trustee of both the Marketing Science Institute and the AiMark (Center for Advanced International Marketing Knowledge).

Professor Gatignon served as INSEAD Dean of Faculty (1995-2001), Dean of the PhD Programme (2001-2006), Chair of the Marketing area (2011-2014), and is a member of the board of Sorbonne Universités."
ian-c-woodward,Organisational Behaviour,"Leadership and Communication,
Communication Intelligence,
Leadership and Finance,
Global Leadership Development. High Performance Leadership and Organisations,
Leadership and Values,
Insightfully Aware Leadership","Communication and Leadership,
Leadership and Management in Finance,
Advanced Management Programme,
Transition to General Programme,
Executive Education","Professor Ian C. Woodward specializes in Leadership and Communication. He lectures in a range of INSEAD programmes and is Director of the Advanced Management Programme as well as Leadership Communication with Impact. He was Co-Program Director for the INSEAD Master of Finance degree. He also lectures and consults in leadership and management practice for high performance, as well as leadership and strategic development in organizations as diverse as financial and professional services, utilities, energy and the public sector. He was guest faculty at leading international business schools including Associate Faculty Director for Columbia Business School’s Senior Executive Program.

Ian brings a unique combination of global business, government, communication and arts experience to executive education. His business career includes Board Directorships, Chief Executive, Senior Executive and Executive Consulting roles in financial and energy sector organisations including: The Australian Gas Light Company; Natural Gas Corporation of New Zealand; the Australian Gas Association; Macquarie Bank; and Asian Development Bank. In government, he was the first Australian to serve on the staff of a US Cabinet Secretary (Minister) as well as being Chief of Staff to an Australian State Premier and Minister. From 2005 to 2010 he was a Commissioner of the Australian Energy Market Commission and the inaugural Chairman of the Asia-Pacific Partnership Energy Regulatory and Market Development Forum. He is currently a Board member of The Gas Company of Hawaii. He is also the Associate Conductor of Singapore’s Metropolitan Festival Orchestra.

Developing exceptional communication proficiency in leaders is a particular passion. Ian developed the concept of “communication intelligence” in leadership communication. He designed the Communication Preference Styles Survey (CPSS) as a development tool to assist leaders to become more aware and effective communicators. In parallel with his business career before academia, he designed and delivered courses in effective leadership and communication around the world, as well delivering major keynote conference speeches and media appearances. He was Chairman and broadcaster on Sydney’s classical music radio station and co-produced a special series of Deutsche Grammophon recordings dedicated to the legacy of conductor Arthur Fiedler. He also combines leadership development with the arts through innovative learning experiences using orchestras and musicians. His recent published research includes articles in the Journal of International Management and Australian Communication Journal.

Ian is an alumni of the University of New South Wales, the Australian Graduate School of Management, University of New England and Columbia Business School.
"
ilia-tsetlin,Decision Sciences,"Decision Making,
Auction Theory,
Bayesian Statistics,
Collective Choice","Uncertainty, Data and Judgment, Models for Strategic Planning, (MBA), Probability and Statistics, Bayesian Analysis (PhD), and modules on decision making (Executive Education)","Ilia M. Tsetlin is Professor of Decision Sciences at INSEAD. His teaching and research interests are in modeling decisions under uncertainty, with particular focus on decision making with multiple attributes, target-based and contest-based settings, and situations with background risk. Other research streams are related to negotiation, auction theory, and collective choice. His work has been published in a number of academic journals including Management Science, Operations Research, Journal of Risk and Uncertainty, Journal of Economic Theory, Psychological Review, Games and Economic Behavior, and Social Choice and Welfare.

He teaches Uncertainty, Data and Judgment; Models for Strategic Planning, (MBA); Probability and Statistics, Bayesian Analysis (PhD), and modules on decision making (EDP). He holds a PhD in Business Administration from Duke University and a MSci in Applied Mathematics and Physics from Moscow Institute of Physics and Technology.''"
ilian-mihov,Economics and Political Science,"Macroeconomics,
Monetary Economics,
Fiscal Policy,
Stock Markets Comovements,
Trade and Development,
Institutions and Public Policy","Macroeconomics (MBA),
Macroeconomics (EMBA),
Econometrics (PhD),
Time Series Analysis (PhD),
Growth, Business Cycles, Financial Crises (Executive Education)","Professor Ilian Mihov was appointed Dean of INSEAD on 1 October 2013. He is concurrently the Rausing Chaired Professor of Economic and Business Transformation. His expertise is in macroeconomics with a focus on monetary policy, fiscal policy and economic growth. 

He is a fellow at the Center for Economic Policy Research and vice president of the Asian Bureau of Finance and Economic Research. Currently he is a board member of the Singapore Economic Development Board (EDB), the Association to Advance Collegiate Schools of Business (AACSB), Singapore American School (SAS) and other advisory boards. He was a member of the scientific committee of the Banque de France’s Research Foundation, the advisory board of the Bulgarian National Bank, and the World Economic Forum’s Global Agenda Council on Fiscal Crises. 

He holds a PhD from Princeton University and a BSc in business administration from the Moore School of Business at the University of South Carolina where, in 2006, he was recognised as a Distinguished Young Alumnus. At INSEAD he has been recognized several times with the Outstanding Teacher Award. In 2018 he won the UN Women (Singapore Chapter) HeForShe Leader Award for his outstanding service and contributions towards gender equality at INSEAD. 
"
ilze-kivleniece,Strategy,"Firm Boundaries,
Hybrid Organizations and Innovative Organizational Design,
Public-private Interaction,
Non-Market and Social Strategy","Business and Corporate Strategy,
Strategic Management,
Public-Private and Cross-Sector Collaboration","Ilze Kivleniece is an Assistant Professor of Strategy at INSEAD. She holds a PhD in Strategic Management from HEC Paris (France), a BSc and an MSc in International Business and Economics from the Stockholm School of Economics (Sweden). Prior to joining INSEAD, she was a faculty member at the Imperial College London (UK) where she taught in a number of programmes, including specialised Masters, MBA and executive MBA. Her teaching experience covers both core strategy topics as well as international strategy, cross-sector partnership and collaborative strategy areas.

Ilze’s research focuses on an emerging, prominent area of studies that connects strategic management with broader issues related to the interaction between firms and public, political or social environment. In her research, she draws upon organisational boundaries, nonmarket strategy, and value-based perspectives, to study the emergence and performance of novel, innovative organisational forms as important mechanisms of value creation and capture. Ilze’s principal research areas are 1) the emergence and design of novel hybrid organisational forms, with particular emphasis on public-private (or cross-sector) collaboration, and 2) the impact of political and social interests, and nonmarket pressures on firm strategy, boundary choices, and performance. 

Her work has been published in a number of prominent academic journals such as the Academy of Management Review, Academy of Management Journal and Journal of Management Studies. Among several distinctions, she is the recipient of the Strategy Research Foundation Scholar 2011 grant from the Strategic Management Society. She received the Best Dissertation 2013 award (across all disciplines) from the HEC Foundation, France, for her PhD work.

Ilze serves as a member of the editorial review board of the Strategic Entrepreneurship Journal, and as an ad-hoc reviewer at the Academy of Management Journal, Strategic Management Journal, and Journal of Organization Design.

Before joining academia (from 1997 to 2007), Ilze held senior account management and corporate development positions (M&A, restructuring, corporate governance and reporting) in advertising, telecommunications, and IT industries. Her past professional experience is particularly related to corporate strategy development in ICT sector in Northern Europe/Baltics, where she has served in both corporate development and supervisory board positions.
"
ioana-popescu,Decision Sciences,"Pricing and Revenue Management,
Decision Making,
Revenue Models for Bottom of the Pyramid,
Behavioural Pricing,
Pricing Analytics and Revenue Management,
Moment Problems","Dynamic Pricing and Revenue Management,
Uncertainty, Data and Judgment,
Making Authentic Decisions,
Pricing Analytics,
Dynamic Programming","Ioana Popescu is a Professor of Decision Sciences and holds the Strategy& Chair at INSEAD. She has a dual PhD in Operations Research and in Applied Mathematics from MIT, and a BA (summa cum laude) in Mathematics and Computer Science from Wellesley College.

For the past 20 years, Ioana has been researching a wide range of avenues for making decisions, based on theoretical models, data, emotions and, more recently, the body. In her work, she likes challenging assumptions and connecting fields. Owing to her math background, her research started off anchored in classical quantitative models of optimization and uncertainty. She then applied these models to develop practical pricing decision-support algorithms for organisations. Ioana brought the human element into this research field by incorporating emotions and biases into analytical decision models. With a purpose to serve the economically underprivileged, she developed structural models and field experiments to improve access to energy in Africa. Finally, because this work hasn’t actually helped her make better decisions, she is currently exploring embodied approaches to decision making.

Ioana is passionate about education. She teaches a variety of courses on decision making, to MBAs, executives and PhDs. She developed new courses, including the first business course on pricing analytics, and recently an experiential course on embodied decisions. 

Ioana has received numerous accolades for her research and teaching, including the Best Teacher Award for MBA core courses and the Dean’s Commendation for Teaching Excellence. Her research was featured in leading academic journals, including Management Science, Operations Research, Manufacturing & Service Operations Management, Mathematics of Operations Research, and honoured with several research excellence awards, including the M&SOM Best Paper Award, the INFORMS Decision Analysis Best Student Paper Award, the INFORMS Junior Faculty Best Paper Award and a Nicholson prize finalist. In service to the academic community, Ioana has mentored several PhD students, held Associate Editor positions at the major journals and served on the academic board of ESMT. 

Originally from Romania, Ioana has lived on four continents, and was honoured as a YGL (2009) by the World Economic Forum. She is an artist at heart and finds it difficult to write academic bios.
"
ithai-stern,Strategy,"Behavioural Strategy,
Corporate Governance,
Strategic Decision Making,
Organisational Learning and Adaptation","Strategic Management,
Strategy Implementation,
Change Management","Ithai Stern is an Associate Professor of Strategy at INSEAD. His research career is devoted to advancing the field of behavioural strategy by studying the social and psychological processes underlying executive behaviours, firm-level decisions, and organisational performance. His studies are aimed at understanding how factors such as status, ingratiation, feedback, and public image influence managerial decisions, particularly in the domain of corporate governance. His work has been published in leading management journals including the Administrative Science Quarterly, Academy of Management Journal, and Strategic Management Journal. His research has been featured in numerous print, radio, and television outlets including BusinessWeek, The Wall Street Journal, National Public Radio, US News and World Report, CNN, CNBC, and Fast Company.

Before joining INSEAD, Professor Stern was a standing faculty member at Kellogg School of Management at the Northwestern University. He has taught MBA, EMBA and executive education courses in the United States, Israel, Singapore, and Italy. He serves on the editorial board of the Strategic Management Journal, and has been involved in editorial and reviewing roles for the Academy of Management Journal, Administrative Science Quarterly, Management Science, and the Organization Science. 

Professor Stern has cofounded and chaired several international conferences including the Strategic Management Society Special Conference on Startup and Restart Strategies, the Israel Strategy Conference, the Midwest Strategy Meetings (MSM), and the Strategic Management Society Initiative for Academic Collaboration in the Middle East and North Africa (IACMENA)."
ivana-naumovska,Entrepreneurship and Family Enterprise,"Strategic Management and Organization Theory,
Sociological Influences on Financial Markets,
Corporate Fraud,
Diffusion of Practices,
Reverse Mergers and Special Purpose Acquisition Companies","Entrepreneurial Finance,
Organizational Foundations of Financial Markets,
Entrepreneurship Through Acquisition and Search Funds","Ivana Naumovska is an Assistant Professor at INSEAD, where she teaches in the MBA, Executive MBA and PhD Programs. Her research examines how social and economic forces jointly shape financial market dynamics. In particular she examines stock market valuations of firms, diffusion of financial practices, and the antecedents and consequences of corporate financial fraud. A distinctive feature of Ivana’s research is that it focuses on novel and understudied financial phenomena, such as reverse mergers and special purpose acquisition companies.

Ivana's research has been published in leading academic journals such as the Academy of Management Journal, and the Review of Finance. Her research has also received a number of prestigious recognitions and awards, including Best Dissertation Prize from the Dutch Royal Academy of Arts and Sciences, and multiple Distinguished and Best Paper Awards from the Academy of Management and the Strategic Management Society. In terms of teaching, Ivana has been awarded the Deans’ Commendation for Excellence in MBA Teaching, and has been nominated multiple times for the Best Teacher Award.

Before joining INSEAD, Ivana held a Postdoctoral position at Northwestern University. She has a PhD in Management and Finance (cum laude) and an MA in Finance (cum laude) from Erasmus University, and a BA in Financial Economics (cum laude) from Utrecht University.
"
j-neil-bearden,Decision Sciences,Psychology,"Management Decision Making (MBA, EMBA),
Uncertainty Data and Judgment (MBA),
Experimental Design (PhD),
Behavioral Decision Making (PhD),
Experimental Economics (PhD),
The Psychology of Decision Making (Executive Education)","Neil Bearden is an Associate Professor of Decision Sciences at INSEAD. He holds a PhD in Cognitive Psychology from The University of North Carolina at Chapel Hill. 

He teaches courses on decision making, storytelling, and ethics. He himself is the subject of his current experiments. The main research question is ""How can we improve our daily practices in order to increase our performance and live excellent human lives?""

Neil Bearden is co-directing the INSEAD Leadership Programme for Senior Executives - India."
james-costantini,Strategy,"Strategy,
Industrial Organisation,
International Trade,
International Business","Strategy,
Corporate Strategy and M&A","James's research interest is on how firm strategy and industrial organization is affected by the broader institutional environment. James has taught courses on strategy and economics to undergraduates, MBAs and executives.

Before joining INSEAD, James received his PhD in Business Economics from Harvard University/Harvard Business School. James's prior education includes a Masters in Business Administration from Harvard Business School, where he graduated Baker Scholar, and a MPhil in Finance and a BA in Mathematics from Cambridge University, U.K..

James has over a ten years experience as a consultant. James was a management consultant in the London and New York offices of McKinsey & Company from 1991 to 2001, except for the two years to complete his MBA. James advised primarily on issues of business unit strategy and corporate strategy to clients across a range of industries. James has also consulted with ghSmart & Company, with a focus on assessment of senior management teams for private equity investors.

At INSEAD James teaches in the MBA programme and in a range of executive education programmes. Within executive education, James’s programme direction has been with companies from a wide range of sectors and geographies, including KPMG, Toshiba, Amdocs, Orkla, Borregaard, OliverWyman, GERBUS (http://www.gerbus-academy.com/), NSG, and Ferrovial.
"
james-teboul,Technology and Operations Management,"Quality of Service,
New Technologies and design in Services,
Change Management","Dynamics of Improvement,
Services Management,
Supply Chain Management,
Operations Technology Strategy","Graduate Engineer of Ecole Centrale Paris and Doctor ès Science from Paris University, James Teboul started his career as a group leader responsible for new product development at Schlumberger. After obtaining his MBA at Sherbrooke University in Canada, he became a professor at INSEAD. His main areas of research are quality management and management of services and innovation.

Professor Teboul has been the director of the International Executive Programme at INSEAD for many years. He has taught in many executive programmes in several countries and has been a consultant to industrial and service organizations.

Professor Teboul is a member of the editorial board of the International Journal of Service Management. His book La Dynamique Qualité (Editions d'Organisation) is published in English under the title Managing Quality Dynamics (Prentice Hall). 
His most recent publications are a book in French entitled Le Temps des Services (The Age of Services) at Editions d’Organisation, Service is Front Stage, published in May 2006 by Palgrave McMillan, Le management des Services published in Mach 2007 by Eyrolles, and Serviços em cena published in July 2008 by Elsevier Brazil.
"
jasjit-singh,Strategy,"Strategy,
Innovation,
Sustainable Development,
Purpose-Driven Business,
Investing for Impact,
Impact Evaluation,
Impact Management","Strategy,
Innovation,
Sustainable Development,
Purpose-Driven Business,
Investing for Impact,
Impact Evaluation,
Impact Management","Jasjit has been an INSEAD professor since 2004. His teaching and research interests include Strategy, Innovation, Sustainable Development, Purpose-Driven Business, Investing for Impact, Impact Evaluation and Impact Management. He also regularly gives speeches on these topics, and advises investors, companies and impact ventures on how to think rigorously about their impact.

Jasjit has written numerous articles for leading academic journals as well as case studies that have won prestigious awards. He earned a PhD in Business Economics (Strategy) at Harvard Business School and an MA in Economics at Harvard University, having earlier obtained a BTech in Computer Science & Engineering at IIT Delhi and a double-MS at Georgia Tech. 

More about Jasjit's work can be found at http://faculty.insead.edu/jasjit-singh"
jason-p-davis,Entrepreneurship and Family Enterprise,"Innovation,
Entrepreneurship,
Networks,
Strategic Management,
Organization Theory","Innovation,
Entrepreneurship,
Collaboration,
Networks,
Leadership,
Strategy in Dynamic Markets","Jason Davis is an Associate Professor of Entrepreneurship and Family Enterprise at INSEAD. He is an expert on digital transformation and innovation in large enterprises and the strategies of startups in digital platform ecosystems. His research has focused on issues of collaboration and adaptation by 'big tech' computing companies in Silicon Valley and Seattle, fast experimentation by mobile app ventures on the iPhone and Android platforms, and the social media strategies of the Fortune 500 companies using Twitter and Facebook. He applies these insights to large organizations as they seek to create value with new digital technologies and systems like artificial intelligence, automation, platform-marketplaces, blockchain, and super-apps, and to new ventures in his MBA course, Digital Entrepreneurship. Jason has focused effort on investigating business model innovations by big tech companies in Asia, having developed teaching cases about how companies such as Go-Jek, Grab, Alibaba, ByteDance, and Circles.Life are innovating in the region, and how Amazon, Microsoft, and Google compete globally. Prior to joining INSEAD, Jason was an Associate Professor of Technological Innovation, Entrepreneurship, and Strategic Management in the MIT Sloan School of Management where he taught Technology Strategy.

Jason earned PhD and MA degrees from Stanford University, where his research was supported by the National Science Foundation. He also earned MS and SB degrees from Caltech and MIT where he did thesis research in computation theory and molecular biology. His research has been published in top academic journals such as the Administrative Science Quarterly, American Economic Review, Strategic Management Journal, and Academy of Management Review. Jason has served as editorial board member at Academy of Management Journal, Organization Science, Strategic Management Journal, and Strategic Organization. He has received multiple research awards including the AOM Academy-Wide Newman Award for Best Paper from a Dissertation (2009), the TIM Division Best Doctoral Dissertation Award (2009), the TIM Division Best Paper Award (2009), the OMT Division Best Paper Award (2008), and the ACAC Competitive Advantage Best Paper Award (2014). Jason also received an Honorable Mention Award for the Granovetter Prize for best article in Economic Sociology from the American Sociological Association (2012). He is also the recipient of the Academy of Management's Technology Innovation Management Emerging Scholar Award (2012). Finally, Jason was selected to receive the ASQ Award for Scholarly Contribution (2015) given to “the most significant paper published in ASQ five years earlier.” His research has also been featured in a variety of popular and industry publications like Financial Times, Wall Street Journal, Bloomberg, Forbes, The Atlantic, The Economist Podcast, Channel News Asia, South China Morning Post, Jakarta Post, Huffington Post, Sloan Management Review, Computer World, and Technology Review. Jason has also consulted, advised, or spoken about his research or conducted executive education at multiple companies including Intel, Microsoft, Cisco, Google, Broadcom, ESI, Sun Microsystems, Tesla, Citibank, Bank Indonesia, BCA, Pertamina, Astra, Go-Jek, Axiata, Natixis, Frasers, Prudential, Aviva, CIMB, Jardines, JG Summit, Lenovo, and various startups. At INSEAD, he serves as Program Director for customized executive education programs about Digital Strategy & Leadership and the Leading Digital Transformation and Innovation open enrollment program on INSEAD’s Asia campus.

"
javier-gimeno,Strategy,"Competitive Strategy,
Multimarket Competition in Domestic and International Markets,
Interorganisational Relationships,
Entrepreneurship and Innovation","Strategic Management,
Competitive Strategy,
Industry and Competitive Analysis,
Industry Restructuring","Javier Gimeno is Professor of Strategy at INSEAD (Fontainebleau campus), in France, where he holds the Aon Dirk Verbeek Chair in International Risk and Strategic Management. 

A Spanish national, he holds a PhD degree in strategic management from Purdue University. Since 2001, he has taught strategy and industry and competitive analysis at INSEAD at all levels – MBA, Executive MBA, Ph.D., and executive programmes for leading global companies. From 2009 to 2011, he also served as Dean of Executive MBA programmes at INSEAD. Javier served as Chair of the Strategy department at INSEAD, and as Academic Director of the INSEAD European Competitiveness Initiative, a broad initiative by INSEAD faculty to understand and improve business competitiveness in Europe. 

Javier's research focuses on understanding competitive strategy decisions, and how these decisions lead to competitive interactions and performance consequences. He has done research and developed pedagogical materials in industries such as travel and transportation (airlines), mobile telecommunication services, energy, and computer equipment. His current research integrates a risk management perspective on the analysis of strategic opportunities. 

Javier’s research has been published in the top academic journals in strategy and management, and has received numerous awards from leading academic and practitioner associations. For instance, his dissertation on multi-market competition in the US airline industry received the prize to the best doctoral dissertation in strategy in its year. He received several Best Paper Awards from the Academy of Management for his research on entrepreneurship, and the Blackrock/National Association of Corporate Directors Best Paper Award for research on strategy and corporate governance. He has taken editorial responsibilities in journals such as Organization Science and Strategy Science. 

Javier has been a leader in several major professional associations. He was a member of the Board of Governors of the Academy of Management, an association of over 18,000 management academics worldwide. He chaired the Academy’s Business Policy and Strategy division - the largest organisation of strategy academics and practitioners, with over 5,000 members worldwide. Most recently, Javier has been very involved with the Strategic Management Society, a global association of strategy academics, practitioners and consultants. He was the Chairman of the Strategic Management Society International Conference in 2006, served on the Board of Directors from 2010-2015, and is currently the President-Elect of the Society."
jean-dermine,Finance,"Asset & Liability Management (ALM),
European Banking,
Banking Regulations (Basel III),
Banking Theory","Bank Management,
Financial Markets","Jean Dermine is a Professor of Banking and Finance at INSEAD. He holds Doctorat en Sciences Economiques from the Université Catholique de Louvain and Master of Business Administration from Cornell University. He directs the INSEAD Executive Education programmes on Risk Management in Banking and Strategic Management in Banking.

Author of numerous articles on asset and liability management, European financial markets, and the Theory of Banking, Jean Dermine has published five books, among which are European Capital Markets with a Single Currency (Oxford University Press), and Bank Valuation and Value-based Management (McGraw-Hill). His research papers have appeared in the Journal of Financial Intermediation, Journal of Money, Credit and Banking, Journal of Banking and Finance, and other academic and professional journals. Laureate of the EIB Prize for his essay ""Eurobanking, a New World"", he is a co-author of the ALCO Challenge, a computer-based training simulation used in Europe, Africa, the Americas, and Asia.

Jean Dermine has served as a Visiting Professor at the Wharton School of the University of Pennsylvania, at the Universities of Louvain and Lausanne, CESAG in Dakar, as well as a Salomon Center Visiting Fellow at New York University, and a Danielsson Foundation Guest Professor of Bank Management at the Göteborg and Stockholm Schools of Economics. As a consultant or director of training and executive education programmes, he worked with several international banks, accounting and consulting firms, national central banks, European Central Bank, Bank for International Settlements, HM Treasury, the OECD, the World Bank, the European Commission, and the Mentor Forum for the US Supreme Court and the European Court of Justice."
jeanclaude-larreche,Marketing,"Strategies for Efficient Growth,
Customer Centricity,
Marketing Leadership,
Strategic Competitiveness","Momentum Leadership for Efficient Growth,
Strategic Marketing,
Customer Focus,
Customer-Based Innovation,
Founder and Director of Customer Focus: From Promise to Action (CF),
Founder of Strategic Management of Services (SMS),
Founder of Advanced Industrial Marketing Strategy (AIMS)","Jean-Claude Larreche is Emeritus Professor of Marketing and the Alfred H. Heineken Chaired Professor of Marketing, Emeritus at INSEAD. He directs the Powering Growth Programme. His book The Momentum Effect: How to Ignite Exceptional Growth, published by Pearson, was named the 4th Best Book of the Year by Amazon USA in its Business and Investing category. It has been translated into several languages. 

Building on his research in The Momentum Effect, Professor Jean-Claude (JC) Larreche currently works on developing “leadership talents for powering growth” on a global scale. He has designed the learning simulation DiG (Discovery, Innovation, and Growth) which is currently available in six languages (English, French, Spanish, Russian, Chinese, and Korean) and is offered internationally by a network of local certified DiG instructors. The research objective of the simulation is to test if the leadership skills for growth are different in a variety of contexts (country, industry, the size of company…) and to explore if personal development approaches have to be adapted accordingly. 

JC Larreche received an MSc in Computer Sciences from the University of London, an MBA from INSEAD, and a PhD in Business from Stanford University. He was as a student at Stanford when he was first nicknamed “JC” by his friends.

JC Larreche has always combined his academic career with business activities. He is a renowned consultant working with leading global corporations, most of which are listed in the Fortune Global 500. When he was 35 years old, he was appointed a non-executive director of the multinational firm ReckittBenckiser, and he served in that capacity for an exceptionally long tenure of 18 years. He served on the INSEAD Board of Directors for 18 years. He is the Founding Chairman of StratX, a strategic development consultancy with offices in Paris and Boston. 

His academic work concentrates on fostering the fundamental capabilities that influence company’s ability to deliver growth, especially through marketing excellence, customer focus, and innovation. He is the author or co-author of numerous simulations including Markstrat, the leading strategic marketing simulation used by more than a million executives worldwide, DiG (Discovery, Innovation, Growth), and Industrat. His publications have appeared in leading international journals and he has authored numerous books, including Marketing Management: A Strategic Decision-Making Approach and Marketing Strategy: Planning and Implementation. From 1998 to 2002, he authored five annual reports on Measuring the Competitive Fitness of Global Firms. 

He has won many awards for his research and his teaching, and was selected as one of the top twelve marketing masters in the world by Mazur and Miles in their book Conversations with Marketing Masters.

JC Larreche is the founder of several INSEAD Executive Education Programmes including Powering Growth, Advanced Industrial Marketing Strategy, Customer Focus: From Promise to Action, and Strategic Management of Services. He was named the Marketing Educator of the Year by Club 55, the European Community of Marketing Experts. He has won twice the Overall European Case of the Year award from ECCH (European Case Clearing House) for his case studies on Virgin Atlantic Airways and First Direct.
"
jennifer-petriglieri,Organisational Behaviour,"Identity,
Leadership Development,
Psychodynamics,
Qualitative Research","Leadership,
Team Dynamics,
Personal and Professional Development and Change,
Psychological Issues in Management","Jennifer Petriglieri is an Associate Professor of Organisational Behaviour at INSEAD. She directs the Executive Education Management Acceleration Programme, the Women Leaders Programme and the INSEAD Gender Diversity Programme

An award-winning researcher and teacher, she was shortlisted for the Talent award in 2017 and shortlisted for the Radar New Thinker award in 2015 by Thinkers50, the ranking of the most influential management authors in the world. She was also included among the world's best 40 business school professors under 40 by Poets & Quants.

Her research investigates how individuals craft and sustain their personal and professional identities in contexts characterised by high uncertainty, such as mobile careers or organisations and professions in crisis. Her writing has appeared in the Administrative Science Quarterly, Academy of Management Review, Academy of Management Learning & Education, and the Journal of Organizational Change Management. It has also been featured in the Business Week and the Harvard Business Review. She is the author of a book entitled Couples That Work, which explores how working couples can thrive in love and in work. 

Jennifer has long been involved in experiential leadership development initiatives for multinationals from a variety of industries. Her work in this domain pays particular attention to the interplay between individual's life stories and group memberships and their decision-making and professional style in leadership roles.

A British citizen, Jennifer earned a PhD in Organisational Behaviour from INSEAD. She also holds an MBA from IMD, Switzerland, and a BSc in genetics from Nottingham University, UK. Prior to joining INSEAD, she was a Post-Doctoral Fellow of Organisational Behaviour at the Harvard Business School. Having lived and worked on three continents, she is now settled in France with her husband and two children."
jiyub-jay-kim,Entrepreneurship and Family Enterprise,"Organisational Learning,
Mergers & Acquisitions,
Network & Strategic Alliance,
Corporate Misbehaviour,
Technology & Innovation,
Corporate Entrepreneurship","Corporate Entrepreneurship,
Strategic Management,
Global Strategy","Ji-Yub (Jay) Kim is an Associate Professor of Entrepreneurship and Family Enterprise at INSEAD. His research centers on organisational learning and its implications on organisational performance and evolution. His research interests also include mergers and acquisitions, community influences, corporate entrepreneurship and innovation, and corporate misbehaviour. He has published in leading academic journals including American Sociological Review, Administrative Science Quarterly, Academy of Management Journal, Organization Science, and Strategic Management Journal. He serves on the editorial review boards of Administrative Science Quarterly, Academy of Management Journal, and Organization Science.

He teaches a broad spectrum of strategy, innovation and organisation topics including competitive strategy, technology disruption, digital strategy, strategy and business model innovation, value innovation, corporate entrepreneurship, and mergers and acquisitions. He has extensive experience in designing, directing and teaching for executive development programmes for global corporate clients. His clients include OCBC, Nike, Mitsubishi Corporation, Schroders, Mizuho Bank, Central Group, Ajinomoto, AmBank, Takeda, Borouge, SK Group, Permatabank, Korean Management Association, Pertamina, and Hana Financial Group. He is a recipient of multiple INSEAD Executive Education Teaching and Direction Awards.

Prior to joining INSEAD, Jay was an assistant professor of Management and Organisation at the Marshall School of Business at the University of Southern California, where he was honoured to receive several teaching awards including Golden Apple Teaching Award for Business Core and Evan C. Thompson Faculty Teaching and Learning Innovation Award. A native of South Korea, Jay received his bachelor’s degree in engineering from Yonsei University in Seoul, South Korea. He earned his PhD in Strategic Management and Organisation Theory from the Wisconsin School of Business at the University of Wisconsin–Madison. He also holds an MBA from the Ross School of Business, University of Michigan.

April 2019

"
joel-peress,Finance,"The generation and diffusion of information in financial markets, with applications to asset pricing, portfolio theory, mass media and economic growth","Derivatives,
Applied Corporate Finance,
Risk Management,
Foundations of Financial Economics","Joël Peress is a Professor of Finance and the Claude Janssen Chaired Professor of Business Administration. He joined INSEAD in 2001, after graduating from the Ecole Polytechnique in France and obtaining a PhD in Economics from the University of Chicago. 

At INSEAD, Joël teaches in the MBA, PhD and various Executive Education programmes. His research interests revolve around the generation and diffusion of information in financial markets, with applications to asset pricing, portfolio theory, the mass media, and economic growth. His work have been published in various journals including The Journal of Finance, The Review of Financial Studies, The Journal of Portfolio Management, and The Journal of Economic Theory. He was twice awarded the Smith Breeden Prize for the best paper published in The Journal of Finance."
